year,department,couse_num,course_name,prof_id,prof_fname,prof_lname
2021,CSCI,1200,INTRO TO COMPUTING,lnariso,Liz,Naris
2021,CSCI,1300,COMP SCI I: PROGRAMMING,nscollan0,Nicky,Scollan
2021,CSCI,1300,COMP SCI I: PROGRAMMING,rfauning4,Rene,Fauning
2021,CSCI,1300,COMP SCI I: PROGRAMMING,dblakelockl,Daisey,Blakelock
2021,CSCI,2270,COMP SCI II: DATA STRUCT,llytellf,Lesly,Lytell
2021,CSCI,2270,COMP SCI II: DATA STRUCT,ajohnson,Alex,Johnson
2021,CSCI,2830,SP TPS-INTRO COMP SCI,wriordanc,Waverley,Riordan
2021,CSCI,3104,ALGORITHMS,mchazelasa,Mufi,Chazelas
2021,CSCI,3155,PRINCIP OF PROG LANGS,adummigan2,Alanah,Dummigan
2021,CSCI,3202,INTRO ARTIFICIAL INTELL,ffernyhoughj,Florette,Fernyhough
2021,CSCI,3287,DATABASES INFO SYSTEMS,nscollan0,Nicky,Scollan
2021,CSCI,3308,SOFTWARE ENG METHODS,jcupitt6,Judas,Cupitt
2021,CSCI,3434,COMPUTER SCIENCE THRY 1,ffernyhoughj,Florette,Fernyhough
2021,CSCI,3656,NUMERICAL COMP 1,tgranhami,Terrence,Granham
2021,CSCI,3702,COGNITIVE SCIENCE,ffernyhoughj,Florette,Fernyhough
2021,CSCI,4229,COMPUTER GRAPHICS,ggounyn,Gerri,Gouny
2021,CSCI,4273,NETWORK SYSTEMS,ffernyhoughj,Florette,Fernyhough
2021,CSCI,4308,SOFTWARE ENG PROJECT 1,tjeary8,Trina,Jeary
2021,CSCI,4448,OO ANALYSIS & DESIGN,atromans1,Ashlen,Tromans
2021,CSCI,4830,SPECIAL TOPICS COMP SCI,esigsworthh,Emmaline,Sigsworth
2021,CSCI,4838,USER INTERFACE DESIGN,iantczak9,Ibbie,Antczak
2021,CSCI,5444,INTRO TO THEORY OF COMP,adummigan2,Alanah,Dummigan
2021,CSCI,5582,ARTIFICIAL INTELLIGENCE,tattersollm,Teodora,Attersoll
2021,CSCI,5606,PRIN OF NUM COMPUTATION,lnariso,Liz,Naris
2021,CSCI,5622,MACHINE LEARNING,wriordanc,Waverley,Riordan
2021,CSCI,7900,IND STDY-DOCTOR'S LEVEL,esigsworthh,Emmaline,Sigsworth
2020,CSCI,1200,INTRO TO COMPUTING,ependlebury3,Earlie,Pendlebury
2020,CSCI,1300,COMP SCI I: PROGRAMMING,yblaxtong,Yuma,Blaxton
2020,CSCI,2270,COMP SCI II: DATA STRUCT,yblaxtong,Yuma,Blaxton
2020,CSCI,3104,ALGORITHMS,esigsworthh,Emmaline,Sigsworth
2020,CSCI,3155,PRINCIP OF PROG LANGS,lnariso,Liz,Naris
2020,CSCI,3434,COMPUTER SCIENCE THRY 1,ifredi5,Imogen,Fredi
2020,CSCI,3656,NUMERICAL COMP 1,iantczak9,Ibbie,Antczak
2020,CSCI,3753,OPERATING SYSTEMS,adummigan2,Alanah,Dummigan
2020,CSCI,4113,UNIX SYSTEM ADMIN,atromans1,Ashlen,Tromans
2020,CSCI,4273,NETWORK SYSTEMS,fhamorb,Fidela,Hamor
2020,CSCI,4318,SOFTWARE ENG PROJECT 2,ffernyhoughj,Florette,Fernyhough
2020,CSCI,4753,COMP PERFORM MODELING,atromans1,Ashlen,Tromans
2020,CSCI,4830,TPC-DESIGN LRN COLLABOR,tjeary8,Trina,Jeary
2020,CSCI,5454,DESIGN ANLYS OF ALGOS,nscollan0,Nicky,Scollan
2020,CSCI,5817,DATABASE SYSTEMS,phaylesk,Pip,Hayles
2020,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,yblaxtong,Yuma,Blaxton
2020,CSCI,5832,NATURAL LANG PROCESSING,fhamorb,Fidela,Hamor
2020,CSCI,6448,OO ANALYSIS & DESIGN,tgranhami,Terrence,Granham
2020,CSCI,7222,TPCS NONSYMBOLIC AI,ffernyhoughj,Florette,Fernyhough
2020,CSCI,7772,TPCS-COGNITIVE SCIENCE,llytellf,Lesly,Lytell
2019,CSCI,1000,CS AS FIELD OF WK & STDY,zanscottd,Zorah,Anscott
2019,CSCI,1220,VR: INTRO TO COMP SCI,fhamorb,Fidela,Hamor
2019,CSCI,1300,COMP SCI I: PROGRAMMING,fhamorb,Fidela,Hamor
